Targa,Id,Odonimo,Codvia,Lunghezza,Data rilievo,Tecnico incaricato,ID Pianta,Specie,Sito Impianto,Lat,Log,h (m),Diametro (cm),Dist. sede stradale (m),Dist. marciapiede (m),CPC,Cod. lavorazione/elenco prezzi,Note,Data lav. F1,Cod. lavorazione - F2,Lavori - F2,Prezzo F2,Data lav. F2,Cod. lavorazione - F3,Lavori - F3,Prezzo F3,Data lav. F3,Cod. lavorazione - F4,Lavori - F4,Prezzo F4,Data lav. F4,Descrizione,Unità di misura,Prezzo Unitario,UPL,Quartiere,Circoscrizione,CO2 catturata (kg/anno),O2 prodotto (kg/anno)
AI041AI,ALB_842,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8337,Brachychiton acerifolius,,38.13756651,13.32146121,2.66,0.03,,,C/D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,5.35,14.14
AI042AI,ALB_843,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8327,Handroanthus heptaphyllus,,38.1375942,13.32157563,4,0.06,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,38.21,100.96
AI043AI,ALB_844,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8409,Nerium oleander,,38.13757711,13.32214723,4.52,-,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AI044AI,ALB_845,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8401,Platanus × hispanica,,38.13772333,13.322653,14.74,0.42,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,102.73,271.46
AI045AI,ALB_846,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8406,Platanus × hispanica,,38.1377583,13.32279901,15.5,0.43,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,92.39,244.15
AI046AI,ALB_847,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8416,Platanus × hispanica,,38.13778284,13.32290956,8.35,0.24,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,45.69,120.72
AI047AI,ALB_848,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8397,Platanus × hispanica,,38.13790378,13.32342295,16,0.41,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,100.56,265.72
AI048AI,ALB_849,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8390,Platanus × hispanica,,38.13804269,13.3240199,13,0.42,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,104.44,275.99
AI049AI,ALB_850,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8405,Platanus × hispanica,,38.1380921,13.32423047,15.88,0.66,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,173.66,458.91
AI050AI,ALB_851,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8384,Platanus × hispanica,,38.13811244,13.32431359,16.51,0.4,,,C/D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,58.12,153.57
