Id,Odonimo,ID Pianta,Quadrante,offset_x,offset_y
ALB_371,Via Rizzo Ammiraglio,113,8,0,10
ALB_372,Via Rizzo Ammiraglio,114,8,0,10
ALB_373,Via Rizzo Ammiraglio,115,8,0,10
ALB_374,Via Rizzo Ammiraglio,116,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,Viale Michelangelo,,8,0,10
,,,8,0,10
